"Order","Level","Ref","Parent","Code","Parent","Description_NL","Unit","Description_unit_NL"
"2201842","6","010229050080","010229000080","0102 29 05","0102 29","--- van het ondergeslacht „Bibos” of van het ondergeslacht „Poephagus”","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201843","6","010229100010","010229000080",,"0102 29","--- andere",,
"2201844","7","010229100080","010229100010","0102 29 10",,"---- met een gewicht van niet meer dan 80 kg","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201845","7","010229210010","010229100010",,,"---- met een gewicht van meer dan 80 kg doch niet meer dan 160 kg",,
"2201846","8","010229210080","010229210010","0102 29 21",,"----- slachtdieren","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201847","8","010229290080","010229210010","0102 29 29",,"----- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201848","7","010229410010","010229100010",,,"---- met een gewicht van meer dan 160 kg doch niet meer dan 300 kg",,
"2201849","8","010229410080","010229410010","0102 29 41",,"----- slachtdieren","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201850","8","010229490080","010229410010","0102 29 49",,"----- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201851","7","010229510010","010229100010",,,"---- met een gewicht van meer dan 300 kg",,
"2201852","8","010229510020","010229510010",,,"----- vaarzen (vrouwelijke runderen die nog niet gekalfd hebben)",,
"2201853","9","010229510080","010229510020","0102 29 51",,"------ slachtvaarzen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201854","9","010229590080","010229510020","0102 29 59",,"------ andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201855","8","010229610010","010229510010",,,"----- koeien",,
"2201856","9","010229610080","010229610010","0102 29 61",,"------ slachtkoeien","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201857","9","010229690080","010229610010","0102 29 69",,"------ andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201858","8","010229910010","010229510010",,,"----- andere",,
"2201859","9","010229910080","010229910010","0102 29 91",,"------ slachtdieren","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201860","9","010229990080","010229910010","0102 29 99",,"------ andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201861","4","010231000010","010200000080",,"0102","- buffels",,
"2201862","5","010231000080","010231000010","0102 31 00",,"-- fokdieren van zuiver ras","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201863","5","010239000080","010231000010","0102 39",,"-- andere",,
"2201864","6","010239100080","010239000080","0102 39 10","0102 39","--- huisdieren","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201865","6","010239900080","010239000080","0102 39 90","0102 39","--- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201866","4","010290000080","010200000080","0102 90","0102","- andere",,
"2201867","5","010290200080","010290000080","0102 90 20","0102 90","-- fokdieren van zuiver ras","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201868","5","010290910010","010290000080",,"0102 90","-- andere",,
"2201869","6","010290910080","010290910010","0102 90 91",,"--- huisdieren","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201870","6","010290990080","010290910010","0102 90 99",,"--- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201871","3","010300000080","010021000090","0103","01","Levende varkens",,
"2201872","4","010310000080","010300000080","0103 10 00","0103","- fokdieren van zuiver ras","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201873","4","010391000010","010300000080",,"0103","- andere",,
"2201874","5","010391000080","010391000010","0103 91",,"-- met een gewicht van minder dan 50 kg",,
"2201875","6","010391100080","010391000080","0103 91 10","0103 91","--- huisdieren","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201876","6","010391900080","010391000080","0103 91 90","0103 91","--- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201877","5","010392000080","010391000010","0103 92",,"-- met een gewicht van 50 kg of meer",,
"2201878","6","010392110010","010392000080",,"0103 92","--- huisdieren",,
"2201879","7","010392110080","010392110010","0103 92 11",,"---- zeugen die ten minste eenmaal gebigd hebben, met een gewicht van 160 kg of meer","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201880","7","010392190080","010392110010","0103 92 19",,"---- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201881","6","010392900080","010392000080","0103 92 90","0103 92","--- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201882","3","010400000080","010021000090","0104","01","Levende schapen en geiten",,
"2201883","4","010410000080","010400000080","0104 10","0104","- schapen",,
"2201884","5","010410100080","010410000080","0104 10 10","0104 10","-- fokdieren van zuiver ras","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201885","5","010410300010","010410000080",,"0104 10","-- andere",,
"2201886","6","010410300080","010410300010","0104 10 30",,"--- lammeren (tot de leeftijd van een jaar)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201887","6","010410800080","010410300010","0104 10 80",,"--- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201888","4","010420000080","010400000080","0104 20","0104","- geiten",,
"2201889","5","010420100080","010420000080","0104 20 10","0104 20","-- fokdieren van zuiver ras","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201890","5","010420900080","010420000080","0104 20 90","0104 20","-- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201891","3","010500000080","010021000090","0105","01","Levend pluimvee (hanen, kippen, eenden, ganzen, kalkoenen en parelhoenders)",,
"2201892","4","010511000010","010500000080",,"0105","- met een gewicht van niet meer dan 185 g",,
"2201893","5","010511000080","010511000010","0105 11",,"-- pluimvee van de soort Gallus domesticus",,
"2201894","6","010511110010","010511000080",,"0105 11","--- vrouwelijke selectie- en vermeerderingskuikens",,
"2201895","7","010511110080","010511110010","0105 11 11",,"---- legrassen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201896","7","010511190080","010511110010","0105 11 19",,"---- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201897","6","010511910010","010511000080",,"0105 11","--- andere",,
"2201898","7","010511910080","010511910010","0105 11 91",,"---- legrassen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201899","7","010511990080","010511910010","0105 11 99",,"---- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201900","5","010512000080","010511000010","0105 12 00",,"-- kalkoenen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201901","5","010513000080","010511000010","0105 13 00",,"-- eenden","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201902","5","010514000080","010511000010","0105 14 00",,"-- ganzen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201903","5","010515000080","010511000010","0105 15 00",,"-- parelhoenders","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201904","4","010594000010","010500000080",,"0105","- ander",,
"2201905","5","010594000080","010594000010","0105 94 00",,"-- pluimvee van de soort Gallus domesticus","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201906","5","010599000080","010594000010","0105 99",,"-- ander",,
"2201907","6","010599100080","010599000080","0105 99 10","0105 99","--- eenden","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201908","6","010599200080","010599000080","0105 99 20","0105 99","--- ganzen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201909","6","010599300080","010599000080","0105 99 30","0105 99","--- kalkoenen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201910","6","010599500080","010599000080","0105 99 50","0105 99","--- parelhoenders","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201911","3","010600000080","010021000090","0106","01","Andere levende dieren",,
"2201912","4","010611000010","010600000080",,"0106","- zoogdieren",,
"2201913","5","010611000080","010611000010","0106 11 00",,"-- primaten","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201914","5","010612000080","010611000010","0106 12 00",,"-- walvissen, dolfijnen en bruinvissen (zoogdieren van de orde „Cetacea”); lamantijnen en doejongs (zoogdieren van de orde „Sirenia”); zeehonden, zeeleeuwen en walrussen (zoogdieren van de suborde „Pinnipedia”)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201915","5","010613000080","010611000010","0106 13 00",,"-- kamelen en andere kameelachtigen (Camelidae)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201916","5","010614000080","010611000010","0106 14",,"-- konijnen en hazen",,
"2201917","6","010614100080","010614000080","0106 14 10","0106 14","--- tamme konijnen","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201918","6","010614900080","010614000080","0106 14 90","0106 14","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201919","5","010619000080","010611000010","0106 19 00",,"-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201920","4","010620000080","010600000080","0106 20 00","0106","- reptielen (slangen en zeeschildpadden daaronder begrepen)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201921","4","010631000010","010600000080",,"0106","- vogels",,
"2201922","5","010631000080","010631000010","0106 31 00",,"-- roofvogels","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201923","5","010632000080","010631000010","0106 32 00",,"-- Psittaciformes (papegaaiachtigen) (papegaaien, parkieten, ara's en kaketoes daaronder begrepen)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201924","5","010633000080","010631000010","0106 33 00",,"-- struisvogels; emoes (Dromaius novaehollandiae)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201925","5","010639000080","010631000010","0106 39",,"-- andere",,
"2201926","6","010639100080","010639000080","0106 39 10","0106 39","--- duiven","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201927","6","010639800080","010639000080","0106 39 80","0106 39","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201928","4","010641000010","010600000080",,"0106","- insecten",,
"2201929","5","010641000080","010641000010","0106 41 00",,"-- bijen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201930","5","010649000080","010641000010","0106 49 00",,"-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201931","4","010690000080","010600000080","0106 90 00","0106","- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201932","2","020021000090","010011000090","02","I","HOODSTUK 2 - VLEES EN EETBARE SLACHTAFVALLEN",,
"2201933","3","020100000080","020021000090","0201","02","Vlees van runderen, vers of gekoeld",,
"2201934","4","020110000080","020100000080","0201 10 00","0201","- hele en halve dieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201935","4","020120000080","020100000080","0201 20","0201","- andere delen, met been",,
"2201936","5","020120200080","020120000080","0201 20 20","0201 20","-- „compensated quarters”","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201937","5","020120300080","020120000080","0201 20 30","0201 20","-- voorvoeten en voorspannen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201938","5","020120500080","020120000080","0201 20 50","0201 20","-- achtervoeten en achterspannen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201939","5","020120900080","020120000080","0201 20 90","0201 20","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201940","4","020130000080","020100000080","0201 30 00","0201","- zonder been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201941","3","020200000080","020021000090","0202","02","Vlees van runderen, bevroren",,
"2201942","4","020210000080","020200000080","0202 10 00","0202","- hele en halve dieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201943","4","020220000080","020200000080","0202 20","0202","- andere delen, met been",,
"2201944","5","020220100080","020220000080","0202 20 10","0202 20","-- „compensated quarters”","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201945","5","020220300080","020220000080","0202 20 30","0202 20","-- voorvoeten en voorspannen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201946","5","020220500080","020220000080","0202 20 50","0202 20","-- achtervoeten en achterspannen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201947","5","020220900080","020220000080","0202 20 90","0202 20","-- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201948","4","020230000080","020200000080","0202 30","0202","- zonder been",,
"2201949","5","020230100080","020230000080","0202 30 10","0202 30","-- voorvoeten, geheel of verdeeld in ten hoogste vijf delen, waarbij iedere voorvoet in één enkel vriesblok wordt aangeboden; zogenaamde „compensated quarters” aangeboden in twee vriesblokken, waarvan het ene blok de voorvoet in zijn geheel of verdeeld in ten hoogste vijf delen omvat, en het andere de achtervoet, zonder de filet, in één enkel deel","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201950","5","020230500080","020230000080","0202 30 50","0202 30","-- als „crops”, „chucks and blades” en „briskets” aangeduide delen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201951","5","020230900080","020230000080","0202 30 90","0202 30","-- ander","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201952","3","020300000080","020021000090","0203","02","Vlees van varkens, vers, gekoeld of bevroren",,
"2201953","4","020311000010","020300000080",,"0203","- vers of gekoeld",,
"2201954","5","020311000080","020311000010","0203 11",,"-- hele en halve dieren",,
"2201955","6","020311100080","020311000080","0203 11 10","0203 11","--- huisdieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201956","6","020311900080","020311000080","0203 11 90","0203 11","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201957","5","020312000080","020311000010","0203 12",,"-- hammen en schouders, alsmede delen daarvan, met been",,
"2201958","6","020312110010","020312000080",,"0203 12","--- van huisdieren",,
"2201959","7","020312110080","020312110010","0203 12 11",,"---- hammen en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201960","7","020312190080","020312110010","0203 12 19",,"---- schouders en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201961","6","020312900080","020312000080","0203 12 90","0203 12","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201962","5","020319000080","020311000010","0203 19",,"-- ander",,
"2201963","6","020319110010","020319000080",,"0203 19","--- van huisdieren",,
"2201964","7","020319110080","020319110010","0203 19 11",,"---- voorstukken en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201965","7","020319130080","020319110010","0203 19 13",,"---- karbonadestrengen en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201966","7","020319150080","020319110010","0203 19 15",,"---- buiken (buikspek) en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201967","7","020319550010","020319110010",,,"---- ander",,
"2201968","8","020319550080","020319550010","0203 19 55",,"----- zonder been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201969","8","020319590080","020319550010","0203 19 59",,"----- ander","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201970","6","020319900080","020319000080","0203 19 90","0203 19","--- ander","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201971","4","020321000010","020300000080",,"0203","- bevroren",,
"2201972","5","020321000080","020321000010","0203 21",,"-- hele en halve dieren",,
"2201973","6","020321100080","020321000080","0203 21 10","0203 21","--- huisdieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201974","6","020321900080","020321000080","0203 21 90","0203 21","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201975","5","020322000080","020321000010","0203 22",,"-- hammen en schouders, alsmede delen daarvan, met been",,
"2201976","6","020322110010","020322000080",,"0203 22","--- van huisdieren",,
"2201977","7","020322110080","020322110010","0203 22 11",,"---- hammen en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201978","7","020322190080","020322110010","0203 22 19",,"---- schouders en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201979","6","020322900080","020322000080","0203 22 90","0203 22","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201980","5","020329000080","020321000010","0203 29",,"-- ander",,
"2201981","6","020329110010","020329000080",,"0203 29","--- van huisdieren",,
"2201982","7","020329110080","020329110010","0203 29 11",,"---- voorstukken en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201983","7","020329130080","020329110010","0203 29 13",,"---- karbonadestrengen en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201984","7","020329150080","020329110010","0203 29 15",,"---- buiken (buikspek) en delen daarvan","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201985","7","020329550010","020329110010",,,"---- ander",,
"2201986","8","020329550080","020329550010","0203 29 55",,"----- zonder been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201987","8","020329590080","020329550010","0203 29 59",,"----- ander","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201988","6","020329900080","020329000080","0203 29 90","0203 29","--- ander","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201989","3","020400000080","020021000090","0204","02","Vlees van schapen of van geiten, vers, gekoeld of bevroren",,
"2201990","4","020410000080","020400000080","0204 10 00","0204","- hele en halve lammeren, vers of gekoeld","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201991","4","020421000010","020400000080",,"0204","- ander vlees van schapen, vers of gekoeld",,
"2201992","5","020421000080","020421000010","0204 21 00",,"-- hele en halve dieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201993","5","020422000080","020421000010","0204 22",,"-- andere delen, met been",,
"2201994","6","020422100080","020422000080","0204 22 10","0204 22","--- voorstukken en halve voorstukken","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201995","6","020422300080","020422000080","0204 22 30","0204 22","--- nierstukken en/of zadels en halve nierstukken en/of zadels","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201996","6","020422500080","020422000080","0204 22 50","0204 22","--- achterstellen en halve achterstellen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201997","6","020422900080","020422000080","0204 22 90","0204 22","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201998","5","020423000080","020421000010","0204 23 00",,"-- zonder been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201999","4","020430000080","020400000080","0204 30 00","0204","- hele en halve lammeren, bevroren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202000","4","020441000010","020400000080",,"0204","- ander vlees van schapen, bevroren",,
"2202001","5","020441000080","020441000010","0204 41 00",,"-- hele en halve dieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202002","5","020442000080","020441000010","0204 42",,"-- andere delen, met been",,
"2202003","6","020442100080","020442000080","0204 42 10","0204 42","--- voorstukken en halve voorstukken","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202004","6","020442300080","020442000080","0204 42 30","0204 42","--- nierstukken en/of zadels en halve nierstukken en/of zadels","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202005","6","020442500080","020442000080","0204 42 50","0204 42","--- achterstellen en halve achterstellen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202006","6","020442900080","020442000080","0204 42 90","0204 42","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202007","5","020443000080","020441000010","0204 43",,"-- zonder been",,
"2202008","6","020443100080","020443000080","0204 43 10","0204 43","--- van lammeren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202009","6","020443900080","020443000080","0204 43 90","0204 43","--- andere","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202010","4","020450000080","020400000080","0204 50","0204","- vlees van geiten",,
"2202011","5","020450110010","020450000080",,"0204 50","-- vers of gekoeld",,
"2202012","6","020450110080","020450110010","0204 50 11",,"--- hele en halve dieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202013","6","020450130080","020450110010","0204 50 13",,"--- voorstukken en halve voorstukken","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202014","6","020450150080","020450110010","0204 50 15",,"--- nierstukken en/of zadels en halve nierstukken en/of zadels","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202015","6","020450190080","020450110010","0204 50 19",,"--- achterstellen en halve achterstellen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202016","6","020450310010","020450110010",,,"--- ander",,
"2202017","7","020450310080","020450310010","0204 50 31",,"---- delen met been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202018","7","020450390080","020450310010","0204 50 39",,"---- delen zonder been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202019","5","020450510010","020450000080",,"0204 50","-- bevroren",,
"2202020","6","020450510080","020450510010","0204 50 51",,"--- hele en halve dieren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202021","6","020450530080","020450510010","0204 50 53",,"--- voorstukken en halve voorstukken","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202022","6","020450550080","020450510010","0204 50 55",,"--- nierstukken en/of zadels en halve nierstukken en/of zadels","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202023","6","020450590080","020450510010","0204 50 59",,"--- achterstellen en halve achterstellen","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202024","6","020450710010","020450510010",,,"--- ander",,
"2202025","7","020450710080","020450710010","0204 50 71",,"---- delen met been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202026","7","020450790080","020450710010","0204 50 79",,"---- delen zonder been","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202027","3","020500000080","020021000090","0205 00","02","Vlees van paarden, van ezels, van muildieren of van muilezels, vers, gekoeld of bevroren",,
"2202028","4","020500200080","020500000080","0205 00 20","0205 00","- vers of gekoeld","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202029","4","020500800080","020500000080","0205 00 80","0205 00","- bevroren","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2202030","3","020600000080","020021000090","0206","02","Eetbare slachtafvallen van runderen, van varkens, van schapen, van geiten, van paarden, van ezels, van muildieren of van muilezels, vers, gekoeld of bevroren",,
"2202031","4","020610000080","020600000080","0206 10","0206","- van runderen, vers of gekoeld",,
