"Order","Level","Code","Parent","Description","Reference to CPA 2008"
"475053","2","10.4","10","Metalen constructieproducten","25.1"
"475054","2","10.5","10","Ketels, ijzerwaren, wapens en andere producten van metaal ","25.2, 25.3, 25.4, 25.7, 25.9"
"475055","1","11",,"Machines, apparaten en werktuigen, n.e.g.; kantoormachines en computers; elektrische machines en apparaten, n.e.g.; radio-, televisie- en telecommunicatieapparatuur; medische apparatuur en instrumenten, precisie- en optische instrumenten, uurwerken ",
"475056","2","11.1","11","Machines en werktuigen voor de landbouw en de bosbouw","28.3"
"475057","2","11.2","11","Huishoudapparaten, n.e.g. (witgoed)","27.5"
"475058","2","11.3","11","Kantoormachines en computers","26.2, 28.23"
"475059","2","11.4","11","Elektrische machines en apparaten, n.e.g.","27.1, 27.2, 27.3, 27.4, 27.9"
"475060","2","11.5","11","Elektronische onderdelen en zend- en transmissietoestellen","26.1, 26.3"
"475061","2","11.6","11","Ontvangtoestellen voor televisie en radio-omroep; audio- en videoapparatuur en toebehoren (bruingoed)","26.4, 26.8"
"475062","2","11.7","11","Medische apparatuur en instrumenten, precisie- en optische instrumenten; uurwerken","26.5, 26.6, 26.7, 32.5"
"475063","2","11.8","11","Overige machines, gereedschapswerktuigen en onderdelen","28.1, 28.21, 28.22, 28.24, 28.25, 28.29, 28.4, 28.9"
"475064","1","12",,"Transportmiddelen ",
"475065","2","12.1","12","Producten van de auto-industrie","29"
"475066","2","12.2","12","Andere transportmiddelen","30"
"475067","1","13",,"Meubelen; overige industrieproducten, n.e.g.",
"475068","2","13.1","13","Meubilair ","31"
"475069","2","13.2","13","Overige industrieproducten","32.1, 32.2, 32.3, 32.4, 32.9"
"475070","1","14",,"Secundaire grondstoffen; gemeentelijk afval en overig afval ",
"475071","2","14.1","14","Huishoudelijk afval en gemeentelijk afval","38.11.31"
"475072","2","14.2","14","Overig afval en secundaire grondstoffen","37.00.20, Others 38.11, 38.12, 38.3 / 37.00.20, Andere 38.11, 38.12, 38.3 / 37.00.20, Autres 38.11, 38.12, 38.3"
"475073","1","15",,"Brieven, pakketten",
"475074","2","15.1","15","Brieven","Not applicable / Nicht genannt / Sans objet"
"475075","2","15.2","15","Pakketten en colli’s","Not applicable / Nicht genannt / Sans objet"
"475076","1","16",,"Uitrusting en materiaal voor het vervoer van goederen ",
"475077","2","16.1","16","Containers en wissellaadbakken in bedrijf, leeg","Not applicable / Nicht genannt / Sans objet"
"475078","2","16.2","16","Pallets en andere verpakkingen in bedrijf, leeg","Not applicable / Nicht genannt / Sans objet"
"475079","1","17",,"Vervoerde goederen in het kader van particuliere of bedrijfsverhuizingen; door reizigers begeleide bagage en artikelen; voor reparatiedoeleinden vervoerde voertuigen; overige niet voor de markt bestemde goederen, n.e.g. ",
"475080","2","17.1","17","Particuliere verhuizing","Not applicable / Nicht genannt / Sans objet"
"475081","2","17.2","17","Door reizigers begeleide bagage en artikelen","Not applicable / Nicht genannt / Sans objet"
"475082","2","17.3","17","Voertuigen voor reparatie","Not applicable / Nicht genannt / Sans objet"
"475083","2","17.4","17","Bedrijfsinstallaties, steigermateriaal","Not applicable / Nicht genannt / Sans objet"
"475084","2","17.5","17","Overige niet voor de markt bestemde goederen, n.e.g.","Not applicable / Nicht genannt / Sans objet"
"475085","1","18",,"Gegroepeerde goederen: diverse soorten goederen die gezamenlijk worden vervoerd",
"475086","2","18.0","18","Gegroepeerde goederen","Not applicable / Nicht genannt / Sans objet"
"475087","1","19",,"Niet identificeerbare goederen: goederen die om de een of andere reden niet te identificeren zijn en daarom ook niet in de groepen 01 tot en met 16 kunnen worden opgenomen",
"475088","2","19.1","19","Niet-identificeerbare goederen in containers of wissellaadbakken","Not applicable / Nicht genannt / Sans objet"
"475089","2","19.2","19","Overige niet-identificeerbare goederen","Not applicable / Nicht genannt / Sans objet"
"475090","1","20",,"Overige goederen, n.e.g. ",
"475091","2","20.0","20","Overige, niet elders opgenomen goederen","Not applicable / Nicht genannt / Sans objet"
