"Order","Level","Code","Parent","Description","Reference to CPA 2008"
"475050","2","10.1","10","Basic iron and steel and ferro-alloys and products of the first processing of iron and steel (except tubes)","24.1, 24.3"
"475051","2","10.2","10","Non ferrous metals and products thereof","24.4"
"475052","2","10.3","10","Tubes, pipes, hollow profiles and related fittings","24.2, 24.5"
"475053","2","10.4","10","Structural metal products","25.1"
"475054","2","10.5","10","Boilers, hardware, weapons and other fabricated metal products ","25.2, 25.3, 25.4, 25.7, 25.9"
"475055","1","11",,"Machinery and equipment n.e.c.; office machinery and computers; electrical machinery and apparatus n.e.c.; radio, television and communication equipment and apparatus; medical, precision and optical instruments; watches and clocks ",
"475056","2","11.1","11","Agricultural and forestry machinery","28.3"
"475057","2","11.2","11","Domestic appliances n.e.c. (White goods)","27.5"
"475058","2","11.3","11","Office machinery and computers","26.2, 28.23"
"475059","2","11.4","11","Electric machinery and apparatus n.e.c.","27.1, 27.2, 27.3, 27.4, 27.9"
"475060","2","11.5","11","Electronic components and emission and transmission appliances","26.1, 26.3"
"475061","2","11.6","11","Television and radio receivers; sound or video recording or reproducing apparatus and associated goods (Brown goods)","26.4, 26.8"
"475062","2","11.7","11","Medical, precision and optical instruments, watches and clocks","26.5, 26.6, 26.7, 32.5"
"475063","2","11.8","11","Other machines, machine tools and parts","28.1, 28.21, 28.22, 28.24, 28.25, 28.29, 28.4, 28.9"
"475064","1","12",,"Transport equipment ",
"475065","2","12.1","12","Automobile industry products","29"
"475066","2","12.2","12","Other transport equipment","30"
"475067","1","13",,"Furniture; other manufactured goods n.e.c.",
"475068","2","13.1","13","Furniture ","31"
"475069","2","13.2","13","Other manufactured goods","32.1, 32.2, 32.3, 32.4, 32.9"
"475070","1","14",,"Secondary raw materials; municipal wastes and other wastes ",
"475071","2","14.1","14","Household and municipal waste","38.11.31"
"475072","2","14.2","14","Other waste and secondary raw materials","37.00.20, Others 38.11, 38.12, 38.3 / 37.00.20, Andere 38.11, 38.12, 38.3 / 37.00.20, Autres 38.11, 38.12, 38.3"
"475073","1","15",,"Mail, parcels",
"475074","2","15.1","15","Mail","Not applicable / Nicht genannt / Sans objet"
"475075","2","15.2","15","Parcels, small packages","Not applicable / Nicht genannt / Sans objet"
"475076","1","16",,"Equipment and material utilized in the transport of goods ",
"475077","2","16.1","16","Containers and swap bodies in service, empty","Not applicable / Nicht genannt / Sans objet"
"475078","2","16.2","16","Pallets and other packaging in service, empty","Not applicable / Nicht genannt / Sans objet"
"475079","1","17",,"Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c. ",
"475080","2","17.1","17","Household removal","Not applicable / Nicht genannt / Sans objet"
"475081","2","17.2","17","Baggage and articles accompanying travellers","Not applicable / Nicht genannt / Sans objet"
"475082","2","17.3","17","Vehicles for repair","Not applicable / Nicht genannt / Sans objet"
"475083","2","17.4","17","Plant equipment, scaffolding","Not applicable / Nicht genannt / Sans objet"
"475084","2","17.5","17","Other non market goods n.e.c.","Not applicable / Nicht genannt / Sans objet"
"475085","1","18",,"Grouped goods: a mixture of types of goods which are transported together",
"475086","2","18.0","18","Grouped goods","Not applicable / Nicht genannt / Sans objet"
"475087","1","19",,"Unidentifiable goods: goods which for any reason cannot be identified and therefore cannot be assigned to groups 01-16.",
"475088","2","19.1","19","Unidentifiable goods in containers or swap bodies","Not applicable / Nicht genannt / Sans objet"
"475089","2","19.2","19","Other unidentifiable goods","Not applicable / Nicht genannt / Sans objet"
"475090","1","20",,"Other goods n.e.c. ",
"475091","2","20.0","20","Other goods not elsewhere classified","Not applicable / Nicht genannt / Sans objet"
