"Order","Level","Ref","Parent","Code","Parent_code","Description","Description_EN","Unit","Description_unit_EN"
"2201923","5","010632000080","010631000010","0106 32 00",,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201924","5","010633000080","010631000010","0106 33 00",,"-- Ostriches; emus (Dromaius novaehollandiae)","Live ostriches, and emus [Dromaius novaehollandiae]","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201925","5","010639000080","010631000010","0106 39",,"-- Other","Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",,
"2201926","6","010639100080","010639000080","0106 39 10","0106 39","--- Pigeons","Live pigeons","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201927","6","010639800080","010639000080","0106 39 80","0106 39","--- Other","Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201928","4","010641000010","010600000080",,"0106","- Insects",,,
"2201929","5","010641000080","010641000010","0106 41 00",,"-- Bees","Live bees","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201930","5","010649000080","010641000010","0106 49 00",,"-- Other","Live insects (excl. bees)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201931","4","010690000080","010600000080","0106 90 00","0106","- Other","Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201932","2","020021000090","010011000090","02","I","CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL","MEAT AND EDIBLE MEAT OFFAL",,
"2201933","3","020100000080","020021000090","0201","02","Meat of bovine animals, fresh or chilled","Meat of bovine animals, fresh or chilled",,
"2201934","4","020110000080","020100000080","0201 10 00","0201","- Carcases and half-carcases","Carcases or half-carcases of bovine animals, fresh or chilled","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201935","4","020120000080","020100000080","0201 20","0201","- Other cuts with bone in","Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",,
"2201936","5","020120200080","020120000080","0201 20 20","0201 20","-- ‘Compensated’ quarters","""Compensated"" quarters of bovine animals with bone in, fresh or chilled","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201937","5","020120300080","020120000080","0201 20 30","0201 20","-- Unseparated or separated forequarters","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201938","5","020120500080","020120000080","0201 20 50","0201 20","-- Unseparated or separated hindquarters","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201939","5","020120900080","020120000080","0201 20 90","0201 20","-- Other","Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201940","4","020130000080","020100000080","0201 30 00","0201","- Boneless","Fresh or chilled bovine meat, boneless","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201941","3","020200000080","020021000090","0202","02","Meat of bovine animals, frozen","Meat of bovine animals, frozen",,
"2201942","4","020210000080","020200000080","0202 10 00","0202","- Carcases and half-carcases","Frozen bovine carcases and half-carcases","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201943","4","020220000080","020200000080","0202 20","0202","- Other cuts with bone in","Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",,
"2201944","5","020220100080","020220000080","0202 20 10","0202 20","-- ‘Compensated’ quarters","Frozen ""compensated"" bovine quarters, with bone in","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201945","5","020220300080","020220000080","0202 20 30","0202 20","-- Unseparated or separated forequarters","Frozen unseparated or separated bovine forequarters, with bone in","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201946","5","020220500080","020220000080","0202 20 50","0202 20","-- Unseparated or separated hindquarters","Frozen unseparated or separated bovine hindquarters, with bone in","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201947","5","020220900080","020220000080","0202 20 90","0202 20","-- Other","Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201948","4","020230000080","020200000080","0202 30","0202","- Boneless","Frozen, boneless meat of bovine animals",,
"2201949","5","020230100080","020230000080","0202 30 10","0202 30","-- Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ‘compensated’ quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201950","5","020230500080","020230000080","0202 30 50","0202 30","-- Crop, chuck-and-blade and brisket cuts","Frozen bovine boneless crop, chuck and blade and brisket cuts","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201951","5","020230900080","020230000080","0202 30 90","0202 30","-- Other","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201952","3","020300000080","020021000090","0203","02","Meat of swine, fresh, chilled or frozen","Meat of swine, fresh, chilled or frozen",,
"2201953","4","020311000010","020300000080",,"0203","- Fresh or chilled",,,
"2201954","5","020311000080","020311000010","0203 11",,"-- Carcases and half-carcases","Fresh or chilled carcases and half-carcases of swine",,
"2201955","6","020311100080","020311000080","0203 11 10","0203 11","--- Of domestic swine","Fresh or chilled domestic swine carcases and half-carcases","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201956","6","020311900080","020311000080","0203 11 90","0203 11","--- Other","Fresh or chilled non-domestic swine carcases and half-carcases","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201957","5","020312000080","020311000010","0203 12",,"-- Hams, shoulders and cuts thereof, with bone in","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",,
"2201958","6","020312110010","020312000080",,"0203 12","--- Of domestic swine",,,
"2201959","7","020312110080","020312110010","0203 12 11",,"---- Hams and cuts thereof","Fresh or chilled with bone in, domestic swine hams and cuts thereof","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201960","7","020312190080","020312110010","0203 12 19",,"---- Shoulders and cuts thereof","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201961","6","020312900080","020312000080","0203 12 90","0203 12","--- Other","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201962","5","020319000080","020311000010","0203 19",,"-- Other","Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",,
"2201963","6","020319110010","020319000080",,"0203 19","--- Of domestic swine",,,
"2201964","7","020319110080","020319110010","0203 19 11",,"---- Fore-ends and cuts thereof","Fresh or chilled fore-ends and cuts thereof of domestic swine","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201965","7","020319130080","020319110010","0203 19 13",,"---- Loins and cuts thereof, with bone in","Fresh or chilled loins and cuts thereof of domestic swine","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201966","7","020319150080","020319110010","0203 19 15",,"---- Bellies (streaky) and cuts thereof","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201967","7","020319550010","020319110010",,,"---- Other",,,
"2201968","8","020319550080","020319550010","0203 19 55",,"----- Boneless","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201969","8","020319590080","020319550010","0203 19 59",,"----- Other","Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201970","6","020319900080","020319000080","0203 19 90","0203 19","--- Other","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201971","4","020321000010","020300000080",,"0203","- Frozen",,,
"2201972","5","020321000080","020321000010","0203 21",,"-- Carcases and half-carcases","Frozen carcases and half-carcases of swine",,
"2201973","6","020321100080","020321000080","0203 21 10","0203 21","--- Of domestic swine","Frozen domestic swine carcases and half-carcases","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201974","6","020321900080","020321000080","0203 21 90","0203 21","--- Other","Frozen non-domestic swine carcases and half-carcases","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201975","5","020322000080","020321000010","0203 22",,"-- Hams, shoulders and cuts thereof, with bone in","Frozen hams, shoulders and cuts thereof of swine, with bone in",,
"2201976","6","020322110010","020322000080",,"0203 22","--- Of domestic swine",,,
"2201977","7","020322110080","020322110010","0203 22 11",,"---- Hams and cuts thereof","Frozen hams and cuts thereof of domestic swine, with bone in","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201978","7","020322190080","020322110010","0203 22 19",,"---- Shoulders and cuts thereof","Frozen shoulders and cuts thereof of domestic swine, with bone in","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201979","6","020322900080","020322000080","0203 22 90","0203 22","--- Other","Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201980","5","020329000080","020321000010","0203 29",,"-- Other","Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",,
"2201981","6","020329110010","020329000080",,"0203 29","--- Of domestic swine",,,
"2201982","7","020329110080","020329110010","0203 29 11",,"---- Fore-ends and cuts thereof","Frozen fore-ends and cuts thereof of domestic swine","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201983","7","020329130080","020329110010","0203 29 13",,"---- Loins and cuts thereof, with bone in","Frozen loins and cuts thereof of domestic swine, with bone in","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
