"Order","Level","Code","Parent","Bezeichnung","Bezug zur CPA 2008"
"475050","2","10.1","10","Roheisen und Stahl; Ferrolegierungen und Erzeugnisse der ersten Bearbeitung von Eisen und Stahl (ohne Rohre)","24.1, 24.3"
"475051","2","10.2","10","NE-Metalle und Halbzeug daraus","24.4"
"475052","2","10.3","10","Rohre und Hohlprofile; Rohr-form-, Rohrverschluss- und Rohrverbindungsstücke","24.2, 24.5"
"475053","2","10.4","10","Stahl- und Leichtmetallbauerzeugnisse","25.1"
"475054","2","10.5","10","Heizkessel, Waffen und sonstige Metallerzeugnisse ","25.2, 25.3, 25.4, 25.7, 25.9"
"475055","1","11",,"Maschinen und Ausrüstungen a.n.g.; Büromaschinen, Datenverarbeitungsgeräte und ‑einrichtungen; Geräte der Elektrizitätserzeugung und ‑verteilung u. Ä.; Nachrichtentechnik, Rundfunk- und Fernsehgeräte sowie elektronische Bauelemente; Medizin-, Mess-, steuerungs- und regelungstechnische Erzeugnisse; optische Erzeugnisse; Uhren ",
"475056","2","11.1","11","Land- und forstwirtschaftliche Maschinen","28.3"
"475057","2","11.2","11","Haushaltsgeräte a.n.g. (Weiße Ware)","27.5"
"475058","2","11.3","11","Büromaschinen, Datenverarbeitungsgeräte und ‑einrichtungen","26.2, 28.23"
"475059","2","11.4","11","Geräte der Elektrizitätserzeugung und -verteilung u. Ä.","27.1, 27.2, 27.3, 27.4, 27.9"
"475060","2","11.5","11","Elektronische Bauelemente, Ausstrahlungs- und Übertragungsgeräte","26.1, 26.3"
"475061","2","11.6","11","Rundfunk- und Fernsehgeräte; Geräte zur Bild- und Tonaufzeichnung oder ‑wiedergabe (Braune Ware)","26.4, 26.8"
"475062","2","11.7","11","Medizin-, Mess-, steuerungs- und regelungstechnische Erzeugnisse; optische Erzeugnisse; Uhren","26.5, 26.6, 26.7, 32.5"
"475063","2","11.8","11","Sonstige Maschinen, Werkzeugmaschinen und Teile dafür","28.1, 28.21, 28.22, 28.24, 28.25, 28.29, 28.4, 28.9"
"475064","1","12",,"Fahrzeuge ",
"475065","2","12.1","12","Erzeugnisse der Automobilindustrie","29"
"475066","2","12.2","12","Sonstige Fahrzeuge","30"
"475067","1","13",,"Möbel, Schmuck, Musikinstrumente, Sportgeräte, Spielwaren und sonstige Erzeugnisse",
"475068","2","13.1","13","Möbel","31"
"475069","2","13.2","13","Sonstige Erzeugnisse","32.1, 32.2, 32.3, 32.4, 32.9"
"475070","1","14",,"Sekundärrohstoffe; kommunale Abfälle und sonstige Abfälle ",
"475071","2","14.1","14","Hausmüll und kommunale Abfälle ","38.11.31"
"475072","2","14.2","14","Sonstige Abfälle und Sekundärrohstoffe","37.00.20, Others 38.11, 38.12, 38.3 / 37.00.20, Andere 38.11, 38.12, 38.3 / 37.00.20, Autres 38.11, 38.12, 38.3"
"475073","1","15",,"Post, Pakete",
"475074","2","15.1","15","Post","Not applicable / Nicht genannt / Sans objet"
"475075","2","15.2","15","Pakete, Päckchen","Not applicable / Nicht genannt / Sans objet"
"475076","1","16",,"Geräte und Material für die Güterbeförderung ",
"475077","2","16.1","16","Container und Wechselbehälter im Einsatz, leer","Not applicable / Nicht genannt / Sans objet"
"475078","2","16.2","16","Paletten und anderes Verpackungsmaterial im Einsatz, leer","Not applicable / Nicht genannt / Sans objet"
"475079","1","17",,"Im Rahmen von privaten und gewerblichen Umzügen beförderte Güter; Gepäckstücke und Gegenstände, die von Reisenden mitgenommen werden; zum Zwecke der Reparatur bewegte Fahrzeuge; sonstige nichtmarktbestimmte Güter a.n.g. ",
"475080","2","17.1","17","Privates Umzugsgut","Not applicable / Nicht genannt / Sans objet"
"475081","2","17.2","17","Gepäckstücke und Gegenstände, die von Reisenden mitgenommen werden","Not applicable / Nicht genannt / Sans objet"
"475082","2","17.3","17","Fahrzeuge in Reparatur","Not applicable / Nicht genannt / Sans objet"
"475083","2","17.4","17","Ausrüstungen, Gerüste","Not applicable / Nicht genannt / Sans objet"
"475084","2","17.5","17","Sonstige nichtmarktbestimmte Güter a.n.g.","Not applicable / Nicht genannt / Sans objet"
"475085","1","18",,"Sammelgut: eine Mischung verschiedener Arten von Gütern, die zusammen befördert werden",
"475086","2","18.0","18","Sammelgut","Not applicable / Nicht genannt / Sans objet"
"475087","1","19",,"Nicht identifizierbare Güter: Güter, die sich aus irgendeinem Grund nicht genau bestimmen lassen und daher nicht den Gruppen 01‑16 zugeordnet werden können",
"475088","2","19.1","19","Nicht identifizierbare Güter in Containern oder Wechselbehältern","Not applicable / Nicht genannt / Sans objet"
"475089","2","19.2","19","Sonstige nicht identifizierbare Güter","Not applicable / Nicht genannt / Sans objet"
"475090","1","20",,"Sonstige Güter a.n.g. ",
"475091","2","20.0","20","Sonstige Güter, die anderweitig nicht klassifiziert sind","Not applicable / Nicht genannt / Sans objet"
